Fecha de realizacion de encuesta,¿Cuanto tiempo te dura un vape? (4000 puffs),"¿Usas el vape con la misma frecuencia todo el dia o periodicamente? (un rato lo usas, un rato no, luego lo vuelves a usar, y asi sucesivamente)","¿Cuantos hits das por periodo? (en caso de que hayas contestado que lo usas periodicamente, en ese periodo, ¿cuantos hits das?)",¿Cuanto tiempo dura el periodo de uso?,¿Consideras que el uso de vape afecta tu capacidad para concentrarte?,"En una escala del 1 al 10, Â¿Como consideras tu nivel de productividad cuando usas el vape","¿Has dejado un compromiso, responsabilidad o has procrastinado por usar vape previamente?","¿Usas vape en la escuela o trabajo? (Si lo usaste alguna vez, marca Si)",¿Si usas vape durante un trabajo/tarea este afecta la calidad?,El vape te da...,"¿Te han dicho que eres menos productivo (o mas lento) cuando usas vape? (comentarios, calificaciones, etc.)"
4/17/2024 21:24:32,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,30 a 60 segundos,si,3,si,si,si,sueno,si
4/17/2024 21:28:58,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,4 a 7 segundos,no,10,no,si,no,relajacion,no
4/17/2024 21:30:01,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,30 a 60 segundos,no,10,no,si,si,mareo,no
4/17/2024 21:33:39,mas de un mes,la misma frecuencia todo el dia,1 a 3,15 a 30 segundos,si,1,no,si,no,sueno,si
4/17/2024 21:34:03,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,si,3,si,si,si,mareo,si
4/17/2024 21:34:26,7 a 14 dias,la misma frecuencia todo el dia,mas de 16,mas de 5 minutos,no,6,no,si,no,relajacion,si
4/17/2024 21:34:57,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,si,1,no,si,si,mareo,no
4/17/2024 21:35:02,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,mas de 5 minutos,no,8,no,si,no,relajacion,no
4/17/2024 21:35:06,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,11 a 15 segundos,no,7,no,no,no,energia,no
4/17/2024 21:35:41,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,no,10,no,si,no,relajacion,no
4/17/2024 21:38:32,1 a 3 dias,la misma frecuencia todo el dia,mas de 16,mas de 5 minutos,no,10,no,si,no,relajacion,no
4/17/2024 21:38:35,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,mas de 5 minutos,si,6,si,si,si,mareo,no
4/17/2024 21:39:48,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,11 a 15 segundos,tal vez,5,tal vez,no,no,mareo,no
4/17/2024 21:41:30,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,3 a 5 minutos,no,10,no,no,no,felicidad,no
4/17/2024 21:42:01,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,7 a 11 segundos,no,9,no,no,no,relajacion,no
4/17/2024 21:42:38,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,mas de 5 minutos,si,8,si,si,no,relajacion,no
4/17/2024 21:42:41,4 a 7 dias,la misma frecuencia todo el dia,mas de 16,mas de 5 minutos,no,1,si,si,no,relajacion,si
4/17/2024 21:44:12,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,8,no,si,no,relajacion,no
4/17/2024 21:44:44,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,30 a 60 segundos,no,7,no,si,no,relajacion,no
4/17/2024 21:44:47,1 a 3 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,no,9,no,no,no,relajacion,no
